code,office
JMAJO,AJAS 1 - AIR CARGO (NMIA)
JMAJT,AJAS 2 - AIR CARGO (NMIA) 
JMALB,ADOLPH LEVY & BROTHERS LTD. 
JMALZ,JAMAICA LOGISTICS ZONE LIMITED
JMBFZ,BASHCO SINGLE ENTITY FREEZONE  
JMBLR,BLACK RIVER ST. ELIZABETH  
JMCHQ,JAMAICA CUSTOMS HEAD OFFICE  
JMCSO,CENTRAL SORTING OFFICE   
JMFMH,FALMOUTH PIER    
JMGFZ,GARMEX FREEZONE    
JMHFZ,HAYES FREE ZONE   
JMKAB,AEGEAN BUNKERING PIER KINGSTON  
JMKAE,AGRICULTURE EXPORT COMPLEX - NMIA  
JMKAJ,AMERIJET CARGO -AIR CARGO (NMIA) 
JMKCA,CARIBBEAN AIRLINES (NMIA)   
JMKCC,CARIB CEMENT PIER   
JMKCP,CEMENT COAL PIER - KINGSTON
JMKCT,KINGSTON FREEPORT TERMINAL   
JMKDH,DHL (NMIA) 
JMKED,EXEC DIRECT AVIATION   
JMKFC,FLIGHT CONNECTIONS LIMITED   
JMKFE,FEDERAL EXPRESS - KINGSTON  
JMKFZ,KINGSTON FREEZONE    
JMKGP,GYPSUM PIER KINGSTON   
JMKIN,KIN - PASSENGER TERMINAL (NMIA) 
JMKLC,KINGSTON LOGISTICS CENTRE LTD.  
JMKMW,MYERS WHARF KINGSTON   
JMKPJ,PETROJAM PIER KINGSTON   
JMKQW,QUEENS WAREHOUSE - KINGSTON  
JMKSF,SKY FREIGHT
JMKSP,SHELL PIER -KINGSTON   
JMKWL,KINGSTON WHARVES LIMITED   
JMKWW,WHERRY WHARF - KINGSTON  
JMLUC,PORT LUCEA    
JMMAC,AIR CARGO (SANGSTER INT'L AIRPORT) 
JMMBJ,MBJ - PASSENGER TERMINAL (SIA) 
JMMCO,MANDEVILLE CUSTOMS OFFICE   
JMMCP,MONTEGO BAY CRUISE SHIP PIER 
JMMEC,EXPORT CENTRE-SANGSTER INT'L   
JMMFZ,MONTEGO BAY FREE ZONE  
JMMHO,CUSTOMS HOUSE -MONTEGO BAY  
JMMIC,IAM JET CENTRE - MONTEGO BAY
JMMPH,PORT HANDLERS (WHARF)   
JMMQW,QUEENS WAREHOUSE - MONTEGO BAY   
JMMSB,SEABOARD WAREHOUSE MONTEGO BAY  
JMNQW,QUEENS WAREHOUSE - NMIA    
JMOCJ,IAN FLEMING INTERNATIONAL AIRPORT  
JMOCP,OCHO RIOS PIER ST. ANN 
JMOSC,ONE STOP CUSTOMS CLEARANCE CENTRE 
JMPCO,PORT ANTONIO CUSTOMS OFFICE  
JMPKS,PORT KAISER ST. ELIZABETH  
JMPMO,PORT MORANT JAMAICA   
JMPOT,PORT ANTONIO (MARINA)   
JMPRH,PORT RHOADES ST. ANN  
JMPRO,PORT ROYAL JAMAICA   
JMRIB,PORT RIO BUENO TRELAWNY  
JMROP,ROCKY POINT CLARENDON   
JMSBO,ST. ANN'S BAY CUSTOMS OFFICE 
JMSLM,SAVANNA-LA-MAR     
JMSRI,SALT RIVER CLARENDON   
JMWAP,WINDALCO PIER - ST. CATHERINE 
JMWEB,ONLINE PAYMENTS
